,Player,Targets,RushingTDs,ReceivingTDs,Receptions,RushingAtt,RushingYds,ReceivingYds,FantasyPoints,ADP,Games,Usage,Touchdowns,TotYdsScrm,Production,PassingYds,PassingTD,PassingAtt,RushingTD,AVG,G
120,Isaiah McKenzie,26.0,1.0,1.0,20.0,9.0,47.0,178.0,33.0,235.7,15.0,3.066666666666667,2.0,225.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Malik Turner,16.0,0.0,3.0,12.0,0.0,0.0,149.0,33.0,0.0,14.0,2.0,3.0,149.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Brandon Zylstra,25.0,0.0,1.0,18.0,0.0,0.0,250.0,31.0,0.0,13.0,3.3076923076923075,1.0,250.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
123,John Ross,20.0,0.0,1.0,11.0,1.0,16.0,224.0,30.0,0.0,10.0,3.1,1.0,240.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Jakeem Grant,17.0,0.0,2.0,11.0,5.0,33.0,132.0,29.0,0.0,15.0,1.8666666666666667,2.0,165.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Isaiah Ford,17.0,0.0,2.0,12.0,0.0,0.0,161.0,28.0,0.0,13.0,2.230769230769231,2.0,161.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Greg Ward,11.0,0.0,3.0,7.0,0.0,0.0,95.0,28.0,0.0,17.0,1.0588235294117647,3.0,95.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Tavon Austin,37.0,0.0,1.0,24.0,3.0,21.0,213.0,27.0,0.0,13.0,4.6923076923076925,1.0,234.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
128,DJ Chark,22.0,0.0,2.0,7.0,0.0,0.0,154.0,27.0,0.0,4.0,7.25,2.0,154.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Ray-Ray McCloud,66.0,0.0,0.0,39.0,2.0,15.0,277.0,27.0,0.0,16.0,6.5625,0.0,292.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Kendall Hinton,23.0,0.0,1.0,15.0,0.0,0.0,175.0,24.0,0.0,16.0,2.375,1.0,175.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Ihmir Smith-Marsette,6.0,0.0,2.0,5.0,0.0,0.0,116.0,24.0,0.0,8.0,1.375,2.0,116.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Anthony Schwartz,23.0,0.0,1.0,10.0,6.0,39.0,135.0,23.0,0.0,14.0,2.357142857142857,1.0,174.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
